SEMMEDDB Subject Code	SEMMEDDB Subject T code	SEMMEDDB Predicate	SEMMEDDB Object Code	SEMMEDDB Object T code	Notes
		DISRUPTS	T044	moft	Range exclusion
		DISRUPTS	T040	orgf	Range exclusion
		DISRUPTS	T025	cell	Range exclusion
		DISRUPTS	T191	neop	Range exclusion
		DISRUPTS	T046	patf	Range exclusion
		DISRUPTS	T047	dsyn	Range exclusion
		DISRUPTS	T023	bpoc	Range exclusion
		DISRUPTS	T039	phsf	Range exclusion
		DISRUPTS	T045	genf	Range exclusion
		DISRUPTS	T070	npop	Range exclusion
		DISRUPTS	T033	fndg	Range exclusion
		DISRUPTS	T026	celc	Range exclusion
		DISRUPTS	T041	menp	Range exclusion
		DISRUPTS	T042	ortf	Range exclusion
		DISRUPTS	T024	tisu	Range exclusion
		DISRUPTS	T184	sosy	Range exclusion
		DISRUPTS	T049	comd	Range exclusion
		DISRUPTS	T037	inpo	Range exclusion
		DISRUPTS	T038	biof	Range exclusion
		DISRUPTS	T020	acab	Range exclusion
		DISRUPTS	T048	mobd	Range exclusion
		DISRUPTS	T018	emst	Range exclusion
		DISRUPTS	T054	socb	Range exclusion
		DISRUPTS	T190	anab	Range exclusion
		DISRUPTS	T019	cgab	Range exclusion
		DISRUPTS	T017	anst	Range exclusion
		DISRUPTS	T021	ffas	Range exclusion
		DISRUPTS	T059	lbpr	Range exclusion
		DISRUPTS	T067	phpr	Range exclusion
		DISRUPTS	T055	inbe	Range exclusion
		DISRUPTS	T032	orga	Range exclusion
		DISRUPTS	T031	bdsu	Range exclusion
		DISRUPTS	T060	diap	Range exclusion
		DISRUPTS	T050	emod	Range exclusion
		DISRUPTS	T169	ftcn	Range exclusion
		DISRUPTS	T063	mbrt	Range exclusion
		DISRUPTS	T079	tmco	Range exclusion
		higher_than	T109	orch	Range exclusion
		higher_than	T061	topp	Range exclusion
		higher_than	T116	aapp	Range exclusion
		higher_than	T028	gngm	Range exclusion
		higher_than	T074	medd	Range exclusion
		higher_than	T123	bacs	Range exclusion
		higher_than	T121	phsu	Range exclusion
		higher_than	T195	antb	Range exclusion
		higher_than	T197	inch	Range exclusion
		higher_than	T114	nnon	Range exclusion
		higher_than	T131	hops	Range exclusion
		higher_than	T196	elii	Range exclusion
		higher_than	not_found	carb	Range exclusion
		higher_than	T125	horm	Range exclusion
		higher_than	T104	chvs	Range exclusion
		higher_than	T120	chvf	Range exclusion
		higher_than	not_found	lipd	Range exclusion
		higher_than	T130	irda	Range exclusion
		higher_than	not_found	nsba	Range exclusion
		higher_than	T122	bodm	Range exclusion
		higher_than	T129	imft	Range exclusion
		higher_than	T200	clnd	Range exclusion
		higher_than	T062	resa	Range exclusion
		higher_than	not_found	eico	Range exclusion
		higher_than	T103	chem	Range exclusion
		higher_than	not_found	opco	Range exclusion
		higher_than	not_found	strd	Range exclusion
		higher_than	T126	enzy	Range exclusion
		higher_than	T026	celc	Range exclusion
		higher_than	T192	rcpt	Range exclusion
		higher_than	T056	dora	Range exclusion
		higher_than	T168	food	Range exclusion
		higher_than	T060	diap	Range exclusion
		higher_than	T069	eehu	Range exclusion
		higher_than	T081	qnco	Range exclusion
		higher_than	T023	bpoc	Range exclusion
		higher_than	T079	tmco	Range exclusion
		higher_than	T170	inpr	Range exclusion
		higher_than	T025	cell	Range exclusion
		higher_than	T087	amas	Range exclusion
		higher_than	T059	lbpr	Range exclusion
		higher_than	T033	fndg	Range exclusion
		higher_than	T083	geoa	Range exclusion
		higher_than	T073	mnob	Range exclusion
		higher_than	T080	qlco	Range exclusion
		higher_than	T082	spco	Range exclusion
		higher_than	T169	ftcn	Range exclusion
		higher_than	T047	dsyn	Range exclusion
		higher_than	T191	neop	Range exclusion
		higher_than	T086	nusq	Range exclusion
		higher_than	T005	virs	Range exclusion
		higher_than	T063	mbrt	Range exclusion
		higher_than	T046	patf	Range exclusion
		higher_than	T013	fish	Range exclusion
		higher_than	T007	bact	Range exclusion
		higher_than	T019	cgab	Range exclusion
		higher_than	T044	moft	Range exclusion
		higher_than	T042	ortf	Range exclusion
		higher_than	T032	orga	Range exclusion
		higher_than	T040	orgf	Range exclusion
		higher_than	T127	vita	Range exclusion
		higher_than	T201	clna	Range exclusion
		higher_than	T058	hlca	Range exclusion
		higher_than	T093	hcro	Range exclusion
		higher_than	T171	lang	Range exclusion
		higher_than	T041	menp	Range exclusion
		higher_than	T097	prog	Range exclusion
		humn	T101	podg	Range exclusion
		humn	T101	podg	Range exclusion
		INHIBITS	T028	gngm	Range exclusion
		INHIBITS	T116	aapp	Range exclusion
		INHIBITS	T123	bacs	Range exclusion
		INHIBITS	T109	orch	Range exclusion
		INHIBITS	T033	fndg	Range exclusion
		INHIBITS	T042	ortf	Range exclusion
		INHIBITS	T121	phsu	Range exclusion
		INHIBITS	T197	inch	Range exclusion
		INHIBITS	not_found	nsba	Range exclusion
		INHIBITS	T196	elii	Range exclusion
		INHIBITS	T125	horm	Range exclusion
		INHIBITS	T131	hops	Range exclusion
		INHIBITS	T126	enzy	Range exclusion
		INHIBITS	not_found	lipd	Range exclusion
		INHIBITS	not_found	carb	Range exclusion
		INHIBITS	T195	antb	Range exclusion
		INHIBITS	not_found	eico	Range exclusion
		INHIBITS	T129	imft	Range exclusion
		INHIBITS	not_found	strd	Range exclusion
		INHIBITS	T086	nusq	Range exclusion
		INHIBITS	T192	rcpt	Range exclusion
		INHIBITS	not_found	opco	Range exclusion
		INHIBITS	T114	nnon	Range exclusion
		INHIBITS	T130	irda	Range exclusion
		INHIBITS	T120	chvf	Range exclusion
		INHIBITS	T122	bodm	Range exclusion
		INHIBITS	T104	chvs	Range exclusion
		INHIBITS	T191	neop	Range exclusion
		INHIBITS	T046	patf	Range exclusion
		INHIBITS	T168	food	Range exclusion
		INHIBITS	T127	vita	Range exclusion
		INHIBITS	T047	dsyn	Range exclusion
		INHIBITS	T034	lbtr	Range exclusion
		INHIBITS	T026	celc	Range exclusion
		INHIBITS	T074	medd	Range exclusion
		INHIBITS	T040	orgf	Range exclusion
		INHIBITS	T061	topp	Range exclusion
		INHIBITS	T020	acab	Range exclusion
		INHIBITS	T087	amas	Range exclusion
		INHIBITS	T069	eehu	Range exclusion
		INHIBITS	T037	inpo	Range exclusion
		INHIBITS	T048	mobd	Range exclusion
		INHIBITS	T169	ftcn	Range exclusion
		INTERACTS_WITH	T116	aapp	Range exclusion
		INTERACTS_WITH	T028	gngm	Range exclusion
		INTERACTS_WITH	T025	cell	Range exclusion
		INTERACTS_WITH	T123	bacs	Range exclusion
		INTERACTS_WITH	T109	orch	Range exclusion
		INTERACTS_WITH	T121	phsu	Range exclusion
		INTERACTS_WITH	T197	inch	Range exclusion
		INTERACTS_WITH	T196	elii	Range exclusion
		INTERACTS_WITH	T125	horm	Range exclusion
		INTERACTS_WITH	T131	hops	Range exclusion
		INTERACTS_WITH	T114	nnon	Range exclusion
		INTERACTS_WITH	not_found	lipd	Range exclusion
		INTERACTS_WITH	not_found	carb	Range exclusion
		INTERACTS_WITH	T130	irda	Range exclusion
		INTERACTS_WITH	T007	bact	Range exclusion
		INTERACTS_WITH	T104	chvs	Range exclusion
		INTERACTS_WITH	T126	enzy	Range exclusion
		INTERACTS_WITH	T195	antb	Range exclusion
		INTERACTS_WITH	not_found	nsba	Range exclusion
		INTERACTS_WITH	T122	bodm	Range exclusion
		INTERACTS_WITH	T129	imft	Range exclusion
		INTERACTS_WITH	T103	chem	Range exclusion
		INTERACTS_WITH	T005	virs	Range exclusion
		INTERACTS_WITH	not_found	invt	Range exclusion
		INTERACTS_WITH	T099	famg	Range exclusion
		INTERACTS_WITH	not_found	eico	Range exclusion
		INTERACTS_WITH	T120	chvf	Range exclusion
		INTERACTS_WITH	T192	rcpt	Range exclusion
		INTERACTS_WITH	not_found	strd	Range exclusion
		INTERACTS_WITH	T047	dsyn	Range exclusion
		INTERACTS_WITH	T001	orgm	Range exclusion
		INTERACTS_WITH	T086	nusq	Range exclusion
		INTERACTS_WITH	T204	euka	Range exclusion
		INTERACTS_WITH	T004	fngs	Range exclusion
		INTERACTS_WITH	not_found	opco	Range exclusion
		INTERACTS_WITH	T008	anim	Range exclusion
		INTERACTS_WITH	T098	popg	Range exclusion
		INTERACTS_WITH	T201	clna	Range exclusion
		INTERACTS_WITH	T184	sosy	Range exclusion
		INTERACTS_WITH	T016	humn	Range exclusion
		INTERACTS_WITH	T013	fish	Range exclusion
		INTERACTS_WITH	T097	prog	Range exclusion
		INTERACTS_WITH	T101	podg	Range exclusion
		INTERACTS_WITH	T096	grup	Range exclusion
		INTERACTS_WITH	T010	vtbt	Range exclusion
		INTERACTS_WITH	T015	mamm	Range exclusion
		INTERACTS_WITH	T002	plnt	Range exclusion
		INTERACTS_WITH	not_found	rich	Range exclusion
		INTERACTS_WITH	not_found	alga	Range exclusion
		INTERACTS_WITH	T011	amph	Range exclusion
		INTERACTS_WITH	T194	arch	Range exclusion
		INTERACTS_WITH	T014	rept	Range exclusion
		INTERACTS_WITH	T012	bird	Range exclusion
		INTERACTS_WITH	T127	vita	Range exclusion
		INTERACTS_WITH	T168	food	Range exclusion
		INTERACTS_WITH	T026	celc	Range exclusion
		INTERACTS_WITH	T100	aggp	Range exclusion
		INTERACTS_WITH	T087	amas	Range exclusion
		INTERACTS_WITH	T191	neop	Range exclusion
		INTERACTS_WITH	T074	medd	Range exclusion
		INTERACTS_WITH	T061	topp	Range exclusion
		INTERACTS_WITH	T033	fndg	Range exclusion
		INTERACTS_WITH	T200	clnd	Range exclusion
		INTERACTS_WITH	T046	patf	Range exclusion
		INTERACTS_WITH	T069	eehu	Range exclusion
		INTERACTS_WITH	T019	cgab	Range exclusion
		INTERACTS_WITH	T078	idcn	Range exclusion
		INTERACTS_WITH	T059	lbpr	Range exclusion
		INTERACTS_WITH	T073	mnob	Range exclusion
		ISA	T061	topp	Range exclusion
		ISA	T047	dsyn	Range exclusion
		ISA	T121	phsu	Range exclusion
		ISA	T116	aapp	Range exclusion
		ISA	T098	popg	Range exclusion
		ISA	T191	neop	Range exclusion
		ISA	T123	bacs	Range exclusion
		ISA	not_found	invt	Range exclusion
		ISA	T109	orch	Range exclusion
		ISA	T058	hlca	Range exclusion
		ISA	T060	diap	Range exclusion
		ISA	T184	sosy	Range exclusion
		ISA	T002	plnt	Range exclusion
		ISA	T015	mamm	Range exclusion
		ISA	T033	fndg	Range exclusion
		ISA	T007	bact	Range exclusion
		ISA	T046	patf	Range exclusion
		ISA	T001	orgm	Range exclusion
		ISA	T004	fngs	Range exclusion
		ISA	T196	elii	Range exclusion
		ISA	T055	inbe	Range exclusion
		ISA	T195	antb	Range exclusion
		ISA	T037	inpo	Range exclusion
		ISA	T131	hops	Range exclusion
		ISA	T103	chem	Range exclusion
		ISA	T048	mobd	Range exclusion
		ISA	not_found	carb	Range exclusion
		ISA	T005	virs	Range exclusion
		ISA	T125	horm	Range exclusion
		ISA	T104	chvs	Range exclusion
		ISA	T070	npop	Range exclusion
		ISA	T120	chvf	Range exclusion
		ISA	T013	fish	Range exclusion
		ISA	not_found	lipd	Range exclusion
		ISA	T167	sbst	Range exclusion
		ISA	T197	inch	Range exclusion
		ISA	T083	geoa	Range exclusion
		ISA	T168	food	Range exclusion
		ISA	T059	lbpr	Range exclusion
		ISA	T100	aggp	Range exclusion
		ISA	T041	menp	Range exclusion
		ISA	T019	cgab	Range exclusion
		ISA	T008	anim	Range exclusion
		ISA	T028	gngm	Range exclusion
		ISA	T126	enzy	Range exclusion
		ISA	T040	orgf	Range exclusion
		ISA	not_found	nsba	Range exclusion
		ISA	T114	nnon	Range exclusion
		ISA	T043	celf	Range exclusion
		ISA	T074	medd	Range exclusion
		ISA	T097	prog	Range exclusion
		ISA	T129	imft	Range exclusion
		ISA	T073	mnob	Range exclusion
		ISA	not_found	alga	Range exclusion
		ISA	T090	ocdi	Range exclusion
		ISA	T012	bird	Range exclusion
		ISA	T014	rept	Range exclusion
		ISA	T011	amph	Range exclusion
		ISA	not_found	strd	Range exclusion
		ISA	T065	edac	Range exclusion
		ISA	T190	anab	Range exclusion
		ISA	T099	famg	Range exclusion
		ISA	T067	phpr	Range exclusion
		ISA	T091	bmod	Range exclusion
		ISA	T039	phsf	Range exclusion
		ISA	T051	evnt	Range exclusion
		ISA	T194	arch	Range exclusion
		ISA	T042	ortf	Range exclusion
		ISA	T093	hcro	Range exclusion
		ISA	T045	genf	Range exclusion
		ISA	T101	podg	Range exclusion
		ISA	T056	dora	Range exclusion
		ISA	T032	orga	Range exclusion
		ISA	T044	moft	Range exclusion
		ISA	not_found	opco	Range exclusion
		ISA	not_found	eico	Range exclusion
		ISA	T020	acab	Range exclusion
		ISA	T010	vtbt	Range exclusion
		ISA	T201	clna	Range exclusion
		ISA	T054	socb	Range exclusion
		ISA	T192	rcpt	Range exclusion
		ISA	T049	comd	Range exclusion
		ISA	T092	orgt	Range exclusion
		ISA	T086	nusq	Range exclusion
		ISA	T069	eehu	Range exclusion
		ISA	T096	grup	Range exclusion
		ISA	T052	acty	Range exclusion
		ISA	T057	ocac	Range exclusion
		ISA	not_found	rich	Range exclusion
		ISA	T038	biof	Range exclusion
		ISA	T034	lbtr	Range exclusion
		ISA	T087	amas	Range exclusion
		ISA	T068	hcpp	Range exclusion
		ISA	T085	mosq	Range exclusion
		ISA	T200	clnd	Range exclusion
		ISA	T064	gora	Range exclusion
		ISA	T053	bhvr	Range exclusion
		ISA	T066	mcha	Range exclusion
		ISA	T094	pros	Range exclusion
		ISA	T075	resd	Range exclusion
		ISA	T095	shro	Range exclusion
		ISA	T078	idcn	Range exclusion
		ISA	T127	vita	Range exclusion
		ISA	T072	phob	Range exclusion
		ISA	T122	bodm	Range exclusion
		LOCATION_OF	T116	aapp	Range exclusion
		LOCATION_OF	T191	neop	Range exclusion
		LOCATION_OF	T047	dsyn	Range exclusion
		LOCATION_OF	T109	orch	Range exclusion
		LOCATION_OF	T046	patf	Range exclusion
		LOCATION_OF	T033	fndg	Range exclusion
		LOCATION_OF	T060	diap	Range exclusion
		LOCATION_OF	T123	bacs	Range exclusion
		LOCATION_OF	T037	inpo	Range exclusion
		LOCATION_OF	T025	cell	Range exclusion
		LOCATION_OF	T043	celf	Range exclusion
		LOCATION_OF	T062	resa	Range exclusion
		LOCATION_OF	T045	genf	Range exclusion
		LOCATION_OF	T190	anab	Range exclusion
		LOCATION_OF	T074	medd	Range exclusion
		LOCATION_OF	T031	bdsu	Range exclusion
		LOCATION_OF	T061	topp	Range exclusion
		LOCATION_OF	T196	elii	Range exclusion
		LOCATION_OF	T184	sosy	Range exclusion
		LOCATION_OF	T197	inch	Range exclusion
		LOCATION_OF	T059	lbpr	Range exclusion
		LOCATION_OF	T028	gngm	Range exclusion
		LOCATION_OF	T131	hops	Range exclusion
		LOCATION_OF	not_found	lipd	Range exclusion
		LOCATION_OF	not_found	carb	Range exclusion
		LOCATION_OF	T019	cgab	Range exclusion
		LOCATION_OF	T023	bpoc	Range exclusion
		LOCATION_OF	T020	acab	Range exclusion
		LOCATION_OF	not_found	strd	Range exclusion
		LOCATION_OF	T030	bsoj	Range exclusion
		LOCATION_OF	T044	moft	Range exclusion
		LOCATION_OF	T007	bact	Range exclusion
		LOCATION_OF	T005	virs	Range exclusion
		LOCATION_OF	T070	npop	Range exclusion
		LOCATION_OF	T040	orgf	Range exclusion
		LOCATION_OF	T086	nusq	Range exclusion
		LOCATION_OF	T042	ortf	Range exclusion
		LOCATION_OF	T065	edac	Range exclusion
		LOCATION_OF	T057	ocac	Range exclusion
		LOCATION_OF	T029	blor	Range exclusion
		LOCATION_OF	not_found	eico	Range exclusion
		LOCATION_OF	T121	phsu	Range exclusion
		LOCATION_OF	T038	biof	Range exclusion
		LOCATION_OF	T004	fngs	Range exclusion
		LOCATION_OF	T125	horm	Range exclusion
		LOCATION_OF	not_found	nsba	Range exclusion
		LOCATION_OF	T026	celc	Range exclusion
		LOCATION_OF	T050	emod	Range exclusion
		LOCATION_OF	T129	imft	Range exclusion
		LOCATION_OF	not_found	opco	Range exclusion
		LOCATION_OF	T195	antb	Range exclusion
		LOCATION_OF	not_found	rich	Range exclusion
		LOCATION_OF	T126	enzy	Range exclusion
		LOCATION_OF	T063	mbrt	Range exclusion
		LOCATION_OF	T114	nnon	Range exclusion
		LOCATION_OF	T130	irda	Range exclusion
		LOCATION_OF	T048	mobd	Range exclusion
		LOCATION_OF	T192	rcpt	Range exclusion
		LOCATION_OF	T122	bodm	Range exclusion
		LOCATION_OF	T018	emst	Range exclusion
		LOCATION_OF	T049	comd	Range exclusion
		LOCATION_OF	T081	qnco	Range exclusion
		LOCATION_OF	T170	inpr	Range exclusion
		LOCATION_OF	T127	vita	Range exclusion
		LOCATION_OF	T168	food	Range exclusion
		LOCATION_OF	T104	chvs	Range exclusion
		LOCATION_OF	T058	hlca	Range exclusion
		LOCATION_OF	T087	amas	Range exclusion
		LOCATION_OF	T200	clnd	Range exclusion
		LOCATION_OF	T080	qlco	Range exclusion
		LOCATION_OF	T103	chem	Range exclusion
		LOCATION_OF	T039	phsf	Range exclusion
		LOCATION_OF	T067	phpr	Range exclusion
		LOCATION_OF	T069	eehu	Range exclusion
		LOCATION_OF	T120	chvf	Range exclusion
		LOCATION_OF	T056	dora	Range exclusion
		LOCATION_OF	T201	clna	Range exclusion
		LOCATION_OF	T194	arch	Range exclusion
		LOCATION_OF	T032	orga	Range exclusion
		LOCATION_OF	T002	plnt	Range exclusion
		LOCATION_OF	not_found	alga	Range exclusion
		LOCATION_OF	not_found	invt	Range exclusion
		LOCATION_OF	T169	ftcn	Range exclusion
		LOCATION_OF	T090	ocdi	Range exclusion
		LOCATION_OF	T034	lbtr	Range exclusion
		LOCATION_OF	T024	tisu	Range exclusion
		LOCATION_OF	T066	mcha	Range exclusion
		LOCATION_OF	T073	mnob	Range exclusion
		LOCATION_OF	T185	clas	Range exclusion
		LOCATION_OF	T054	socb	Range exclusion
		LOCATION_OF	T079	tmco	Range exclusion
		lower_than	T109	orch	Range exclusion
		lower_than	T061	topp	Range exclusion
		lower_than	T116	aapp	Range exclusion
		lower_than	T028	gngm	Range exclusion
		lower_than	T123	bacs	Range exclusion
		lower_than	T121	phsu	Range exclusion
		lower_than	T074	medd	Range exclusion
		lower_than	T195	antb	Range exclusion
		lower_than	T131	hops	Range exclusion
		lower_than	T197	inch	Range exclusion
		lower_than	T114	nnon	Range exclusion
		lower_than	T196	elii	Range exclusion
		lower_than	T125	horm	Range exclusion
		lower_than	T104	chvs	Range exclusion
		lower_than	not_found	carb	Range exclusion
		lower_than	not_found	lipd	Range exclusion
		lower_than	T130	irda	Range exclusion
		lower_than	not_found	nsba	Range exclusion
		lower_than	T129	imft	Range exclusion
		lower_than	T120	chvf	Range exclusion
		lower_than	T122	bodm	Range exclusion
		lower_than	T062	resa	Range exclusion
		lower_than	not_found	eico	Range exclusion
		lower_than	T200	clnd	Range exclusion
		lower_than	not_found	opco	Range exclusion
		lower_than	T103	chem	Range exclusion
		lower_than	not_found	strd	Range exclusion
		lower_than	T126	enzy	Range exclusion
		lower_than	T192	rcpt	Range exclusion
		lower_than	T026	celc	Range exclusion
		lower_than	T056	dora	Range exclusion
		lower_than	T060	diap	Range exclusion
		lower_than	T168	food	Range exclusion
		lower_than	T069	eehu	Range exclusion
		lower_than	T081	qnco	Range exclusion
		lower_than	T005	virs	Range exclusion
		lower_than	T023	bpoc	Range exclusion
		lower_than	T073	mnob	Range exclusion
		lower_than	T083	geoa	Range exclusion
		lower_than	T059	lbpr	Range exclusion
		lower_than	T079	tmco	Range exclusion
		MANIFESTATION_OF	T047	dsyn	Range exclusion
		MANIFESTATION_OF	T046	patf	Range exclusion
		MANIFESTATION_OF	T191	neop	Range exclusion
		MANIFESTATION_OF	T040	orgf	Range exclusion
		MANIFESTATION_OF	T043	celf	Range exclusion
		MANIFESTATION_OF	T037	inpo	Range exclusion
		MANIFESTATION_OF	T045	genf	Range exclusion
		MANIFESTATION_OF	T048	mobd	Range exclusion
		MANIFESTATION_OF	T042	ortf	Range exclusion
		MANIFESTATION_OF	T049	comd	Range exclusion
		MANIFESTATION_OF	T039	phsf	Range exclusion
		MANIFESTATION_OF	T019	cgab	Range exclusion
		MANIFESTATION_OF	T190	anab	Range exclusion
		MANIFESTATION_OF	T020	acab	Range exclusion
		MANIFESTATION_OF	T038	biof	Range exclusion
		MANIFESTATION_OF	T050	emod	Range exclusion
		MANIFESTATION_OF	T033	fndg	Range exclusion
		MANIFESTATION_OF	T184	sosy	Range exclusion
		MANIFESTATION_OF	T044	moft	Range exclusion
		MANIFESTATION_OF	T054	socb	Range exclusion
		MANIFESTATION_OF	T041	menp	Range exclusion
		MEASUREMENT_OF	T082	spco	Range exclusion
		MEASUREMENT_OF	T042	ortf	Range exclusion
		MEASUREMENT_OF	T040	orgf	Range exclusion
		MEASUREMENT_OF	T039	phsf	Range exclusion
		MEASUREMENT_OF	T043	celf	Range exclusion
		MEASUREMENT_OF	T044	moft	Range exclusion
		MEASUREMENT_OF	T029	blor	Range exclusion
		MEASUREMENT_OF	T083	geoa	Range exclusion
		MEASUREMENT_OF	T045	genf	Range exclusion
		MEASUREMENT_OF	T030	bsoj	Range exclusion
		MEASUREMENT_OF	T116	aapp	Range exclusion
		MEASUREMENT_OF	T123	bacs	Range exclusion
		MEASUREMENT_OF	T086	nusq	Range exclusion
		MEASUREMENT_OF	T031	bdsu	Range exclusion
		MEASUREMENT_OF	T121	phsu	Range exclusion
		MEASUREMENT_OF	T167	sbst	Range exclusion
		MEASURES	T116	aapp	Range exclusion
		MEASURES	T081	qnco	Range exclusion
		MEASURES	T079	tmco	Range exclusion
		MEASURES	T123	bacs	Range exclusion
		MEASURES	T109	orch	Range exclusion
		MEASURES	T047	dsyn	Range exclusion
		MEASURES	T043	celf	Range exclusion
		MEASURES	T032	orga	Range exclusion
		MEASURES	T059	lbpr	Range exclusion
		MEASURES	T031	bdsu	Range exclusion
		MEASURES	T040	orgf	Range exclusion
		MEASURES	T042	ortf	Range exclusion
		MEASURES	T070	npop	Range exclusion
		MEASURES	T046	patf	Range exclusion
		MEASURES	T045	genf	Range exclusion
		MEASURES	T028	gngm	Range exclusion
		MEASURES	T034	lbtr	Range exclusion
		MEASURES	T121	phsu	Range exclusion
		MEASURES	T039	phsf	Range exclusion
		MEASURES	T125	horm	Range exclusion
		MEASURES	T196	elii	Range exclusion
		MEASURES	T191	neop	Range exclusion
		MEASURES	T048	mobd	Range exclusion
		MEASURES	T197	inch	Range exclusion
		MEASURES	T130	irda	Range exclusion
		MEASURES	T131	hops	Range exclusion
		MEASURES	T104	chvs	Range exclusion
		MEASURES	T049	comd	Range exclusion
		MEASURES	T195	antb	Range exclusion
		MEASURES	T114	nnon	Range exclusion
		MEASURES	not_found	carb	Range exclusion
		MEASURES	T129	imft	Range exclusion
		MEASURES	not_found	lipd	Range exclusion
		MEASURES	not_found	nsba	Range exclusion
		MEASURES	T122	bodm	Range exclusion
		MEASURES	T044	moft	Range exclusion
		MEASURES	not_found	eico	Range exclusion
		MEASURES	T038	biof	Range exclusion
		MEASURES	not_found	strd	Range exclusion
		MEASURES	T103	chem	Range exclusion
		MEASURES	T126	enzy	Range exclusion
		MEASURES	T192	rcpt	Range exclusion
		MEASURES	not_found	opco	Range exclusion
		MEASURES	T050	emod	Range exclusion
		MEASURES	T170	inpr	Range exclusion
		MEASURES	T080	qlco	Range exclusion
		MEASURES	T184	sosy	Range exclusion
		MEASURES	T019	cgab	Range exclusion
		MEASURES	T063	mbrt	Range exclusion
		MEASURES	T127	vita	Range exclusion
		MEASURES	T020	acab	Range exclusion
		MEASURES	T060	diap	Range exclusion
		MEASURES	T067	phpr	Range exclusion
		MEASURES	T190	anab	Range exclusion
		MEASURES	not_found	1	Range exclusion
		MEASURES	T062	resa	Range exclusion
		MEASURES	T082	spco	Range exclusion
		MEASURES	T168	food	Range exclusion
		MEASURES	T201	clna	Range exclusion
		MEASURES	T041	menp	Range exclusion
		MEASURES	T023	bpoc	Range exclusion
		MEASURES	T033	fndg	Range exclusion
		MEASURES	T120	chvf	Range exclusion
		MEASURES	T054	socb	Range exclusion
		MEASURES	T200	clnd	Range exclusion
		MEASURES	T055	inbe	Range exclusion
		MEASURES	T086	nusq	Range exclusion
		MEASURES	T061	topp	Range exclusion
		MEASURES	T073	mnob	Range exclusion
		METHOD_OF	T061	topp	Range exclusion
		METHOD_OF	T059	lbpr	Range exclusion
		METHOD_OF	T060	diap	Range exclusion
		METHOD_OF	T091	bmod	Range exclusion
		METHOD_OF	T090	ocdi	Range exclusion
		METHOD_OF	T058	hlca	Range exclusion
		METHOD_OF	T063	mbrt	Range exclusion
		METHOD_OF	T116	aapp	Range exclusion
		METHOD_OF	T109	orch	Range exclusion
		METHOD_OF	T066	mcha	Range exclusion
		METHOD_OF	T125	horm	Range exclusion
		METHOD_OF	T123	bacs	Range exclusion
		METHOD_OF	T074	medd	Range exclusion
		METHOD_OF	T195	antb	Range exclusion
		METHOD_OF	T114	nnon	Range exclusion
		METHOD_OF	T121	phsu	Range exclusion
		METHOD_OF	T197	inch	Range exclusion
		METHOD_OF	T062	resa	Range exclusion
		METHOD_OF	T131	hops	Range exclusion
		METHOD_OF	T129	imft	Range exclusion
		METHOD_OF	T126	enzy	Range exclusion
		METHOD_OF	not_found	lipd	Range exclusion
		METHOD_OF	not_found	carb	Range exclusion
		METHOD_OF	T070	npop	Range exclusion
		METHOD_OF	T042	ortf	Range exclusion
		METHOD_OF	not_found	eico	Range exclusion
		METHOD_OF	not_found	nsba	Range exclusion
		METHOD_OF	T081	qnco	Range exclusion
		METHOD_OF	T028	gngm	Range exclusion
		METHOD_OF	not_found	opco	Range exclusion
		METHOD_OF	T170	inpr	Range exclusion
		METHOD_OF	T200	clnd	Range exclusion
		METHOD_OF	T196	elii	Range exclusion
		METHOD_OF	not_found	strd	Range exclusion
		METHOD_OF	T056	dora	Range exclusion
		METHOD_OF	T045	genf	Range exclusion
		METHOD_OF	T104	chvs	Range exclusion
		METHOD_OF	T057	ocac	Range exclusion
		METHOD_OF	T026	celc	Range exclusion
		METHOD_OF	T130	irda	Range exclusion
		NEG_ADMINISTERED_TO	T016	humn	Range exclusion
		NEG_ADMINISTERED_TO	T015	mamm	Range exclusion
		NEG_ADMINISTERED_TO	T025	cell	Range exclusion
		NEG_ADMINISTERED_TO	T008	anim	Range exclusion
		NEG_ADMINISTERED_TO	T098	popg	Range exclusion
		NEG_ADMINISTERED_TO	T101	podg	Range exclusion
		NEG_ADMINISTERED_TO	T100	aggp	Range exclusion
		NEG_ADMINISTERED_TO	T001	orgm	Range exclusion
		NEG_ADMINISTERED_TO	T097	prog	Range exclusion
		NEG_ADMINISTERED_TO	T096	grup	Range exclusion
		NEG_ADMINISTERED_TO	not_found	invt	Range exclusion
		NEG_ADMINISTERED_TO	T099	famg	Range exclusion
		NEG_ADMINISTERED_TO	T050	emod	Range exclusion
		NEG_ADMINISTERED_TO	T004	fngs	Range exclusion
		NEG_ADMINISTERED_TO	T002	plnt	Range exclusion
		NEG_ADMINISTERED_TO	not_found	alga	Range exclusion
		NEG_ADMINISTERED_TO	T007	bact	Range exclusion
		NEG_ADMINISTERED_TO	T005	virs	Range exclusion
		NEG_ADMINISTERED_TO	T170	inpr	Range exclusion
		NEG_AFFECTS	T047	dsyn	Range exclusion
		NEG_AFFECTS	T040	orgf	Range exclusion
		NEG_AFFECTS	T043	celf	Range exclusion
		NEG_AFFECTS	T025	cell	Range exclusion
		NEG_AFFECTS	T016	humn	Range exclusion
		NEG_AFFECTS	T046	patf	Range exclusion
		NEG_AFFECTS	T191	neop	Range exclusion
		NEG_AFFECTS	T042	ortf	Range exclusion
